greetings,tot de volgende
wijzigBusreis,Graag mien reis en maand verplaatse
boekBusreis,Gelieve 2 plaatsen te rezerveren voor de bus van Bruhhe naar Pareis van morge
wijzigBusreis,ikwil grg een bus van andr uur boeken
meldKlachten,De organisatie trok op niks
geefReisTijden,"Ik woon in Brughe en wil naar Amsterdm, toon me alle bussen p 12 dec"
geefOnboardServices,Is wi fi aanwezig opde bus
geefBestemmingen,kan ik van Bruhhe naar Pareis met de bus
geefOnboardServices,Kan ik onlineboeken lezen opde bus
geefBestemmingen,"Ik wel met vriedn naar een festival (Rock Werchter) kunnen wij de bus gebruiken"
boekBusreis,Wil je 2 tickets reserver voor de eerstvolgende bus nr Pareis
wijzigBusreis,"Rezerveer de volgend bus ik heb mijn bus gemist"
geefActueleInfo,Zijn er vertragingenen voor de bus van amsterdam naar hent van 19:25
geefReisTijden,wanneer kan ik reizen op 9 aug 2020 van gentnaar amsterdam
boekBusreis,Reserveer een ticket naar Pareis voor morgen
huurBusMetChauffeur,We zijn als school aan het zoeken naar een bus met een bestuurder vr een klasuitstap
wijzigBusreis,Voor morgn zou ik graag mijn busreis verplaatsen naar de avond
meldKlachten,Ik sta al een uur te wacht aan de halte en de bus iser nog steeds niet
annuleerBusreis,Gelieve mijn geboekte tickets voorde bus naar Pareis voor morgn te anuleren
geefBestemmingen,Ik zou graag een cietytrip doen naar praaag
geefActueleInfo,Zal mijn bus op tijd zijn
annuleerBusreis,"morge zal het slecht weer zijn, annnuleer mijn boeking"
annuleerBusreis,annuleeer mijn reis naar Pareis van 9/8
geefReisTijden,"Ik ga met mijn vrienden gaan skieën van 3 februarie tot 10 feb in Vald'Isère geefme alle bussen die ik kan nemen"
geefOnboardServices,Kunnen mijn kids een fielm kijken
boekBusreis,Ik had graag 3 tickets naar kopen hagen vanuit Malmo
greetings,goeiendag
geefReisTijden,Kan ik morgen om 10 u in antwerpene geraken metde bus
geefActueleInfo,Iser vertraging voor de bus van 7:25 van Bruggen naar de Efteling
meldKlachten,Bs is telaat en ik weet van niks